Company Name,Website,LinkedIn Search,Industry,Status
Hexcel,https://www.hexcel.com,https://www.linkedin.com/search/results/companies/?keywords=Hexcel,Advanced Materials / Composites,Ready for Outreach
Toray Advanced Composites,https://www.toraytac.com,https://www.linkedin.com/search/results/companies/?keywords=Toray%20Advanced%20Composites,Advanced Materials / Composites,Ready for Outreach
Huntsman,https://www.huntsman.com,https://www.linkedin.com/search/results/companies/?keywords=Huntsman,Advanced Materials / Composites,Ready for Outreach
Owens Corning,https://www.owenscorning.com,https://www.linkedin.com/search/results/companies/?keywords=Owens%20Corning,Advanced Materials / Composites,Ready for Outreach
Airtech,https://www.airtech.com,https://www.linkedin.com/search/results/companies/?keywords=Airtech,Advanced Materials / Composites,Ready for Outreach
SABIC,https://www.sabic.com,https://www.linkedin.com/search/results/companies/?keywords=SABIC,Advanced Materials / Composites,Ready for Outreach
Strongwell,https://www.strongwell.com,https://www.linkedin.com/search/results/companies/?keywords=Strongwell,Advanced Materials / Composites,Ready for Outreach
Composites One,https://www.compositesone.com,https://www.linkedin.com/search/results/companies/?keywords=Composites%20One,Advanced Materials / Composites,Ready for Outreach
Arkema,https://www.arkema.com,https://www.linkedin.com/search/results/companies/?keywords=Arkema,Advanced Materials / Composites,Ready for Outreach
Teijin,https://www.teijin.com,https://www.linkedin.com/search/results/companies/?keywords=Teijin,Advanced Materials / Composites,Ready for Outreach
